ctrgcn_jm_3d,ctrgcn_b_3d,ctrgcn_j_3d,ctrgcn_j_3d_resample,ctrgcn_j_3d_resample_rotate,ctrgcn_b_2d,ctrgcn_j_2d,ctrgcn_bm_2d,ctrgcn_jm_2d,tdgcn_j_2d,blockgcn_j_3d,blockgcn_jm_3d,blockgcn_b_3d,blockgcn_bm_3d,ctrgcn_b_3d_resample_rotate,degcn_J_3d,degcn_B_3d,degcn_BM_3d,tegcn_V1_J_3d,tegcn_V1_B_3d,former_bm_r_w_2d,former_bm_2d,former_j_2d,former_j_3d,former_b_3d,former_j_3d_resample_rotate,former_jm_2d,former_b_3d_resample_rotate,skateformer_b_3d,skateformer_j_3d,true
123,122,151,53,53,122,122,123,123,53,53,122,53,122,122,151,151,124,53,112,124,53,123,53,53,122,124,53,53,53,122
53,53,123,53,53,123,123,123,123,123,53,123,53,122,53,123,53,53,53,113,122,123,123,53,123,123,122,123,53,123,123
53,53,128,53,53,122,129,124,11,124,53,53,53,124,53,53,122,122,123,114,123,104,124,53,53,53,123,117,123,53,124
45,125,125,125,125,125,127,145,125,9,125,1,1,1,1,125,125,1,1,115,45,1,1,125,45,45,45,1,125,125,125
126,126,126,126,126,137,126,126,126,126,126,126,126,126,126,126,126,126,126,115,126,126,126,126,126,126,126,126,126,126,126
127,127,127,127,127,127,127,22,127,127,127,127,127,127,127,127,127,127,127,117,141,100,127,127,127,127,141,127,127,127,127
122,128,53,124,53,53,124,124,124,53,122,53,53,122,53,124,53,53,53,118,124,122,124,53,53,124,124,53,53,124,128
129,129,129,129,129,129,129,129,138,129,129,129,129,72,129,129,129,129,129,119,129,129,129,129,129,129,129,129,129,129,129
138,138,136,138,136,138,136,138,138,138,136,136,136,136,136,136,136,136,136,120,138,138,138,136,136,136,138,136,138,136,136
137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,17,137,137,137,137,137,137,137,137,137,137,137
138,138,138,138,138,138,138,138,138,43,138,138,138,138,138,138,138,138,138,47,138,138,43,138,138,138,138,138,138,138,138
16,139,139,139,139,16,139,13,139,139,139,139,139,5,139,139,139,139,139,124,14,14,16,139,139,139,14,139,139,139,139
43,140,140,140,140,140,140,140,140,19,140,140,140,140,140,140,140,140,140,70,140,140,140,140,140,140,140,140,140,140,140
141,141,141,141,141,151,141,141,151,141,141,141,141,141,141,141,141,141,141,127,141,141,151,141,141,141,141,141,141,141,141
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,124,142,142,142,142,142,142,142,142,142,142,142
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,140,99,107,143,106,106,143,99,143,143,143,143
144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,74,144,144,144,144,144,144,144,144,144,144,144
35,145,145,145,14,16,14,14,145,16,145,14,145,35,14,145,145,35,35,75,16,16,14,16,145,35,16,35,14,35,145
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,74,149,149,149,149,149,149,149,149,149,149,149
36,150,150,150,150,5,150,68,59,5,24,24,24,62,150,150,24,36,150,77,59,66,121,150,150,150,59,150,150,150,150
71,122,122,53,53,151,151,151,122,122,151,122,53,53,151,122,151,122,53,78,53,122,122,151,151,51,53,53,71,122,151
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,146,99,99,99,99,99,99,99,99,99,99,99
32,32,32,32,32,32,32,32,32,32,32,32,32,100,32,32,32,32,32,80,32,32,32,32,32,32,32,32,32,100,100
101,101,101,101,101,101,101,109,109,109,101,101,101,101,101,101,101,101,101,84,109,109,101,102,102,101,109,101,101,101,101
102,102,102,102,102,102,102,109,102,102,102,102,102,102,102,102,102,102,102,82,109,102,102,102,102,102,109,109,102,102,102
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,83,103,43,103,103,103,103,103,103,103,103,103
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,84,104,104,104,104,104,104,104,104,104,104,104
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,89,105,105,105,105,105,105,105,105,105,105,105
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,86,106,106,106,106,106,106,106,106,106,106,106
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,87,107,107,107,107,107,107,107,107,107,107,107
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,88,108,108,108,108,108,108,108,108,108,108,108
109,109,109,109,109,109,138,109,109,109,109,109,109,109,109,109,109,109,109,89,9,2,43,109,109,109,9,109,109,109,109
55,55,55,55,55,55,55,110,110,55,55,55,110,110,110,110,55,55,55,90,55,55,55,55,55,110,55,55,55,110,110
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,91,111,111,111,111,111,111,111,111,111,111,111
43,112,112,112,112,112,112,104,109,112,112,43,112,59,112,112,112,109,112,92,109,104,112,112,112,112,109,112,112,112,112
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,131,113,113,113,113,113,113,113,113,113,113,113
114,114,114,114,114,114,114,114,106,114,114,114,114,114,114,114,114,114,114,94,114,114,114,114,114,114,114,114,114,114,114
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,95,115,115,116,116,116,115,115,116,115,115,115
116,116,116,116,116,116,116,115,115,115,116,116,116,115,116,116,116,116,116,96,115,116,116,116,116,116,115,116,116,116,116
117,117,117,117,117,117,117,41,26,117,117,117,117,117,117,117,117,117,117,134,117,117,117,117,117,117,117,117,117,117,117
118,118,118,43,118,43,118,72,118,118,118,118,118,43,118,118,118,118,118,98,118,43,118,118,118,118,118,43,118,118,118
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,130,119,119,119,119,119,119,119,119,119,119,119
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,131,120,120,120,120,120,120,120,120,120,120,120
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,132,74,74,74,74,74,74,74,74,74,74,74
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,133,75,148,75,75,75,75,75,75,75,75,75
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,134,76,76,76,76,76,76,76,76,76,76,76
95,77,77,77,78,93,77,78,77,78,77,77,77,95,77,77,77,78,77,135,77,93,77,77,77,77,77,77,77,77,77
84,78,78,87,131,131,78,75,75,87,78,86,78,77,78,78,26,77,131,146,75,75,78,78,78,87,75,87,131,78,78
79,79,79,135,79,79,79,79,79,79,79,79,79,79,79,83,79,79,79,148,79,79,79,79,79,80,79,79,79,148,79
96,96,80,96,96,96,96,80,96,96,96,96,96,44,96,96,96,80,80,0,96,80,96,96,96,80,96,96,96,80,80
81,81,81,81,81,81,81,81,81,81,81,81,81,81,84,81,81,81,80,51,81,134,81,81,81,81,81,81,81,81,81
82,131,82,82,82,81,82,81,75,93,131,131,87,81,82,131,93,82,82,2,95,86,82,131,93,82,95,97,82,82,82
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,65,83,83,83,83,83,83,83,83,83,83,83
94,89,84,85,89,84,84,84,84,84,84,84,84,85,86,84,85,84,84,20,84,85,89,89,89,89,84,89,84,148,84
85,84,84,85,85,85,85,85,85,75,85,85,85,85,85,85,85,85,85,64,85,85,85,84,85,85,85,85,84,85,85
95,87,131,83,87,87,87,87,87,87,87,87,87,148,131,87,95,87,87,6,131,130,87,87,87,87,131,87,87,87,86
87,87,131,87,131,131,131,131,131,77,87,87,131,77,131,131,87,87,131,7,131,132,78,131,131,78,131,87,131,131,87
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,8,88,88,88,88,88,88,88,89,88,88,88
89,89,89,89,89,89,89,89,89,89,89,89,89,94,89,89,89,89,89,9,89,89,89,89,89,89,89,89,89,133,89
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,10,90,130,90,90,90,90,90,90,90,90,90
91,91,91,91,91,91,0,91,91,91,91,91,91,91,91,91,91,91,91,11,91,91,91,91,91,91,91,91,91,91,91
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,12,92,92,92,92,92,92,92,92,92,92,92
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,13,93,93,93,93,93,93,93,93,93,93,93
94,94,94,94,94,97,94,94,94,94,94,97,94,94,94,94,94,94,94,145,94,89,94,94,89,94,94,94,94,94,94
95,95,95,95,95,95,95,130,95,95,95,95,95,95,95,95,95,95,95,15,95,95,95,95,95,95,95,95,95,95,95
80,80,80,80,80,96,80,80,80,96,96,80,80,96,80,80,80,80,80,16,96,80,80,96,96,80,96,96,80,80,96
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,149,97,97,97,97,97,97,97,97,97,97,97
98,98,98,98,98,98,72,98,98,98,98,98,98,98,98,98,98,98,98,18,132,132,132,98,98,98,132,98,98,98,98
131,131,131,131,130,93,130,95,130,130,77,131,130,130,130,130,130,131,130,19,131,130,130,93,93,130,131,130,130,130,130
93,131,93,131,131,72,72,77,77,87,131,83,93,83,131,93,93,93,131,20,77,93,87,93,93,93,77,131,93,93,131
132,132,132,132,132,132,132,98,93,132,132,132,132,132,132,132,132,132,132,56,83,132,132,132,132,132,83,132,132,132,132
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,22,133,133,133,133,133,133,133,133,133,133,133
134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,3,134,134,134,134,122,134,134,122,134,134,134
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,24,135,135,135,135,135,135,135,135,135,135,135
77,87,87,87,87,87,146,83,83,146,77,148,146,148,87,146,77,146,146,25,146,87,146,87,87,77,146,87,146,146,146
148,135,148,135,148,148,148,130,148,74,148,148,74,148,148,148,148,148,135,26,75,95,74,148,148,74,75,148,135,148,148
0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,44,1,1,44,1,1,1,1,1,1,1,1,1,1,8,1,44,1,1,1,1,1,1,1,1,1
2,2,37,2,2,2,37,72,70,37,2,2,2,39,2,2,2,2,2,29,68,2,2,37,37,37,68,2,2,2,2
4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,30,51,4,7,4,4,4,51,4,4,4,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,31,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,17,17,5,17,17,5,17,17,17,5,17,17,17,5,17,17,5,57,17,17,17,5,5,5,17,17,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,28,6,6,6,6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,34,7,7,7,7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,35,8,8,8,8,8,8,8,8,8,8,8
9,9,9,9,9,10,9,8,28,9,9,10,9,28,9,9,10,9,9,125,10,10,10,10,9,9,10,9,9,9,9
25,10,10,25,25,10,25,10,25,25,25,25,25,36,25,25,10,25,10,15,25,38,25,25,25,25,25,25,10,10,10
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,41,11,11,11,11,11,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,31,12,12,12,12,12,12,12,12,12,12,12
13,13,13,13,13,13,13,13,13,13,13,14,13,14,15,13,13,13,13,43,13,13,13,13,13,13,13,13,13,13,13
16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,43,14,14,14,14,14,14,14,14,14,14,14
15,15,15,15,15,15,15,15,13,15,15,15,13,13,15,15,13,15,15,12,15,15,13,13,13,13,15,13,13,15,15
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5,16,16,16,16,16,16,16,16,16,16,16
17,17,17,17,17,5,17,5,17,64,17,17,17,5,17,17,17,17,17,44,17,24,65,17,17,5,17,17,17,17,17
13,18,18,18,18,139,13,13,13,18,18,33,18,14,18,18,18,18,18,25,18,18,13,18,18,18,18,18,18,18,18
117,41,41,117,117,40,40,38,38,41,41,117,41,39,41,41,41,117,117,4,117,117,40,37,37,37,117,117,117,117,19
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,47,20,20,20,20,20,20,20,20,20,20,20
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,8,21,21,21,21,21,21,21,21,21,21,21
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,29,22,22,22,23,23,22,22,22,23,22,22
23,23,23,23,23,23,22,22,23,23,23,23,23,23,23,23,23,23,23,4,23,22,23,23,23,23,23,23,23,23,23
40,24,41,40,40,40,40,40,41,41,40,40,40,40,41,41,24,41,40,3,41,41,40,24,41,40,41,24,24,24,24
25,25,25,25,25,25,8,25,25,25,25,25,25,25,25,25,25,25,25,51,25,25,25,25,25,25,25,25,25,25,25
26,26,26,39,26,117,38,117,43,117,26,26,26,38,38,26,26,115,26,53,41,117,26,38,38,39,41,38,38,38,26
27,45,27,27,27,27,27,45,125,27,27,27,27,27,27,27,27,27,27,4,24,38,27,27,27,27,24,27,27,27,27
48,28,28,28,28,28,28,48,42,28,28,28,28,28,28,28,28,28,28,55,28,42,28,28,28,28,28,28,28,28,28
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,56,29,29,29,29,29,29,29,29,29,29,29
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,103,30,30,30,30,30,30,30,30,30,30,30
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,59,31,31,31,31,31,31,31,31,31,31,31
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,60,32,100,32,32,32,32,32,32,32,32,32
18,33,33,33,33,57,57,32,32,57,33,33,33,33,33,33,33,33,33,20,32,57,33,33,33,33,32,33,33,33,33
34,34,34,34,34,34,34,34,34,34,34,34,13,34,34,34,34,34,34,62,34,13,13,34,34,34,34,34,34,34,34
35,35,35,35,35,35,35,35,35,35,35,35,35,35,14,35,35,35,35,62,35,35,35,35,14,35,35,35,14,35,35
36,36,36,36,36,36,36,38,36,36,36,38,36,36,36,36,36,36,36,64,38,36,36,36,36,36,38,36,36,36,36
41,37,37,37,37,40,40,40,40,31,37,38,37,39,37,37,37,117,37,62,40,24,24,37,37,37,40,117,37,37,37
117,37,37,37,37,40,40,38,38,37,37,117,37,39,40,37,40,117,37,66,117,117,24,37,37,37,117,117,37,37,37
38,38,38,38,38,40,38,38,38,38,38,41,38,38,38,38,38,117,38,15,41,38,38,38,38,38,41,38,38,38,38
117,39,39,39,39,39,40,118,118,39,39,41,39,39,39,39,39,117,39,38,62,117,21,39,39,39,62,39,39,39,39
40,38,40,38,41,41,38,36,43,39,41,41,40,40,38,38,41,40,40,15,36,38,21,38,38,41,36,38,38,38,40
117,38,41,38,39,40,38,38,41,41,38,41,38,38,38,38,38,41,38,62,40,18,40,38,38,38,40,38,38,39,41
42,42,42,42,42,42,42,42,103,42,42,42,42,42,42,42,42,42,42,71,103,42,42,42,42,42,103,42,42,42,42
43,43,43,43,43,72,43,118,72,43,43,43,43,72,43,43,43,118,43,72,72,72,118,43,43,43,72,43,43,43,43
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,73,44,1,44,44,44,44,44,44,44,44,44
45,45,45,45,45,45,45,26,45,45,45,27,45,25,45,45,45,27,45,73,56,45,45,45,45,45,56,45,45,45,45
46,46,46,46,46,46,46,46,46,46,46,46,46,6,46,46,46,46,46,32,141,46,46,46,46,46,141,46,46,46,46
40,36,36,36,36,36,36,21,68,36,36,38,36,36,36,36,36,38,36,101,36,36,36,36,36,36,36,36,36,36,47
25,25,25,25,25,25,25,10,48,25,25,25,25,25,25,25,25,25,25,102,10,72,25,48,48,25,10,25,25,25,48
50,50,50,50,50,49,49,50,49,49,50,50,50,51,50,50,50,50,50,116,51,49,50,50,50,50,51,50,50,50,49
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,104,50,50,50,50,50,50,50,50,50,50,50
51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,73,50,4,50,50,50,50,50,50,50,50,51
4,52,52,49,52,52,52,52,52,4,49,52,52,52,52,52,52,52,52,106,52,4,4,50,49,50,52,50,50,50,52
45,9,53,9,53,102,9,1,44,42,53,44,53,44,53,9,9,44,9,107,70,42,53,9,44,9,70,53,53,53,53
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,64,54,4,54,54,54,54,54,54,54,54,54
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,110,55,55,55,55,55,55,55,55,55,55,55
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,110,55,55,55,55,55,55,55,55,55,55,55
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,111,56,56,56,56,56,56,56,56,56,56,56
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,112,57,57,57,57,57,57,57,57,57,57,57
103,58,58,103,58,103,103,23,23,109,58,103,58,103,103,58,58,103,58,19,100,23,103,58,58,109,100,58,103,103,58
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,19,59,59,59,59,59,59,59,59,59,59,59
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,115,60,60,60,60,60,60,60,60,60,60,60
61,61,61,61,61,61,60,60,60,61,61,60,61,60,61,61,61,61,61,116,60,60,60,61,61,61,60,61,60,61,61
62,65,62,62,62,65,62,65,65,65,65,62,62,62,62,62,62,62,62,2,65,65,65,62,62,62,65,62,62,62,62
65,63,63,63,65,65,49,65,63,63,65,65,65,65,63,63,65,63,63,115,65,65,65,65,65,63,65,63,63,65,63
64,64,64,64,36,64,62,62,64,64,36,64,64,36,38,38,64,64,36,119,62,64,36,125,36,64,62,0,36,36,64
62,65,62,63,62,5,5,5,17,65,65,62,62,62,62,63,62,62,65,113,65,5,62,65,65,62,65,65,62,62,65
66,66,66,66,7,66,66,66,66,66,66,66,66,66,66,66,66,66,66,52,66,66,66,66,66,66,66,66,66,66,66
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,124,66,20,66,66,66,66,66,66,66,66,66
67,67,67,67,67,34,67,67,67,67,67,67,67,67,67,67,67,67,67,45,67,34,67,67,67,67,67,67,67,67,67
68,68,68,68,68,68,68,68,70,68,68,68,68,62,68,68,68,68,68,129,68,68,68,68,68,68,68,68,68,68,68
69,69,69,69,69,69,69,69,71,69,69,69,69,69,69,69,69,69,69,127,69,69,69,69,69,69,69,69,69,69,69
70,70,70,70,65,63,70,70,70,70,70,70,70,70,70,70,70,70,70,122,70,70,70,70,70,70,70,70,70,70,70
49,29,29,50,29,52,71,52,71,29,71,71,71,52,71,71,71,71,29,149,71,71,52,4,4,29,71,71,71,71,71
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,139,72,25,72,72,72,72,72,72,72,72,72
55,55,55,55,55,110,55,110,55,55,73,110,55,55,55,55,55,55,55,141,110,111,55,110,73,55,110,110,110,55,73
74,74,74,74,74,74,86,74,135,74,74,74,74,74,74,74,74,74,74,142,135,74,135,86,86,74,135,87,74,74,74
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,111,75,130,75,75,75,75,75,75,75,75,75
82,76,76,76,76,82,76,74,80,76,82,148,148,148,76,76,76,74,76,144,146,148,74,86,86,76,146,76,76,76,76
130,116,146,115,146,77,77,77,77,146,77,130,77,77,77,77,78,146,87,5,77,78,87,77,77,77,77,115,130,77,77
78,78,78,78,78,78,78,78,78,78,78,78,78,78,87,78,78,78,78,149,78,78,78,78,78,78,78,78,78,78,78
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,47,79,79,79,79,79,79,79,79,79,79,79
80,80,80,80,80,80,80,83,80,80,80,80,80,80,80,80,80,80,80,52,83,74,80,80,80,80,83,80,80,80,80
81,81,81,81,81,81,81,81,130,81,81,81,81,81,81,81,81,81,81,0,93,131,81,81,81,81,93,97,81,81,81
82,74,74,87,82,135,135,96,80,74,148,98,82,148,82,74,74,82,82,1,98,80,86,74,98,74,98,148,80,82,82
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,70,83,83,83,83,83,83,83,83,83,83,83
84,84,84,84,84,84,84,84,84,84,84,85,85,85,84,84,84,84,84,3,84,84,85,84,84,84,84,84,85,84,84
85,84,84,84,84,84,84,84,84,84,85,84,85,85,84,85,84,84,85,49,84,84,85,84,84,85,84,84,84,85,85
86,74,86,86,74,86,74,90,76,86,86,86,86,74,87,74,86,74,87,5,90,76,74,86,86,74,90,86,86,74,86
75,78,87,87,78,78,78,85,75,78,87,85,87,85,87,78,87,87,78,6,77,85,87,87,78,78,77,87,87,78,87
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,7,88,88,88,88,88,88,88,88,88,88,88
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,8,89,89,89,89,89,89,89,89,89,88,89
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,9,90,98,90,90,90,90,90,90,90,90,90
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,8,91,91,91,91,91,91,91,91,91,91,91
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,11,92,92,92,92,92,92,92,92,92,92,92
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,12,93,93,93,93,93,93,93,93,93,93,93
94,94,94,133,94,94,133,97,97,94,94,94,94,94,94,94,89,133,94,13,97,94,94,133,94,94,97,94,94,94,94
95,95,95,95,95,95,130,95,130,130,95,95,95,95,95,95,95,95,95,14,130,18,95,95,95,95,130,95,95,95,95
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,15,80,80,80,80,80,80,80,80,80,80,96
133,97,133,133,97,97,97,133,97,133,97,97,97,97,97,97,97,97,97,35,97,97,133,97,97,97,97,97,97,97,97
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,108,98,98,98,98,98,98,98,98,98,83,98
130,130,78,130,130,130,130,130,77,130,130,130,130,130,130,32,130,130,130,40,77,130,130,130,86,130,77,130,130,130,130
131,131,78,131,131,131,78,78,86,131,93,78,93,85,131,131,93,86,131,19,77,93,131,131,78,93,77,87,93,131,131
132,132,132,132,132,132,132,132,132,132,132,132,132,112,132,132,132,132,132,20,132,78,132,132,132,132,132,132,132,132,132
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,21,133,133,133,133,133,133,133,133,133,133,133
134,134,134,81,134,134,134,134,134,134,134,81,134,134,134,134,134,134,92,22,134,134,134,134,134,134,134,134,134,134,134
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,23,135,135,135,135,135,135,135,135,135,135,135
146,146,77,146,146,146,146,146,146,146,77,146,146,95,146,146,146,146,146,24,77,146,77,146,77,77,77,146,146,146,146
135,135,82,148,148,135,148,148,135,76,148,148,148,135,135,148,148,148,76,25,135,135,135,135,135,148,135,148,148,148,148
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,35,14,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,1,1,1,1,1,1,1,1,1,1,1
2,2,15,15,15,18,15,15,15,34,37,15,37,37,2,2,15,15,37,8,37,144,2,2,67,2,37,2,2,2,2
3,3,3,5,3,3,3,3,3,5,5,5,121,63,5,3,3,5,63,3,3,23,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,51,4,4,4,4,49,4,4,4,4,4,30,49,4,4,49,4,4,49,4,4,4,4
38,3,5,3,3,3,64,3,21,21,3,43,3,5,5,3,3,3,5,31,21,3,21,5,5,3,21,5,5,17,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,32,6,6,6,6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,33,7,7,7,7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,34,8,8,8,8,8,8,8,8,8,8,8
43,9,9,9,9,9,9,10,9,9,9,9,9,72,9,9,9,9,9,45,9,9,9,9,9,9,9,9,9,9,9
10,10,10,10,10,10,10,10,9,10,10,10,10,25,10,10,10,10,10,36,10,36,10,10,48,10,10,10,10,10,10
11,11,11,11,11,11,11,73,11,11,11,11,11,11,11,11,11,119,11,37,11,11,11,11,11,11,11,73,11,11,11
12,12,12,12,12,12,12,12,12,12,12,12,12,35,12,12,12,12,12,43,12,12,12,12,12,12,12,12,12,12,12
13,15,13,13,13,13,15,15,15,15,15,13,13,13,13,13,13,15,13,39,15,14,13,13,13,13,15,13,13,13,13
14,14,14,14,14,14,21,21,14,14,14,14,14,14,14,14,14,14,14,40,21,27,14,14,14,14,21,14,14,14,14
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,41,15,15,34,15,15,37,15,15,15,15,15
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,42,16,16,16,16,16,16,16,16,16,16,16
17,17,17,5,17,3,17,36,5,64,17,5,17,5,5,17,17,17,17,118,36,64,38,5,5,5,36,5,5,17,17
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,44,18,18,18,18,18,18,18,18,18,18,18
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,45,19,19,19,19,19,19,19,19,19,19,19
20,66,20,20,20,3,20,20,6,20,66,66,20,20,66,20,20,20,20,46,3,20,3,20,20,20,3,20,20,20,20
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,47,21,55,21,21,21,21,21,21,21,21,21
22,22,22,22,22,22,22,22,20,22,22,22,22,22,22,22,22,22,22,8,22,22,22,22,22,22,22,22,22,22,22
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,49,23,23,23,23,23,23,23,23,23,23,23
129,0,0,24,24,0,0,41,41,41,24,0,24,41,0,24,0,0,24,50,40,41,40,24,0,0,40,24,24,0,24
10,25,25,25,25,25,25,10,8,25,25,25,25,25,25,25,25,25,25,51,25,25,25,25,25,25,25,25,10,25,25
26,26,26,39,26,117,117,117,43,117,26,26,26,117,38,26,26,39,26,4,43,117,43,26,38,39,43,39,39,26,26
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,51,27,40,27,27,27,27,27,27,27,27,27
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4,28,42,28,28,28,28,28,28,28,28,28
29,29,29,29,29,29,50,50,50,29,29,29,29,29,29,29,29,29,29,55,50,29,29,29,29,29,50,29,29,29,29
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,30,30,30,30,30,30,30,30,30,30,30
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,57,31,31,31,31,31,31,31,31,31,31,31
32,32,32,32,32,32,32,25,36,32,32,25,32,32,32,32,32,32,32,58,25,25,32,32,32,32,25,32,32,32,32
33,33,33,33,33,57,57,57,57,57,33,33,33,33,33,33,33,33,33,59,57,57,57,33,33,33,57,33,33,33,33
